// 1=127 // 1=15 // 3=9 // 1=61 // 2=8 // 4=8 // 2=6 // 2=6 // 7=15 // 2=16 // 1=25 // 1=7 // 1=15 // 1=127 // 1=7

[1, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 1, 1, 1, 1]     1
[0, 1, 2, 3, 0, 3, 2, 1, 0]     2
[2, 0, 0, 2, 2, 3, 2, 3, 2]     3
[0, 3, 1, 2, 2, 1, 3, 0, 0]     4
[0, 2, 0, 2, 0, 3, 3, 0, 2]     5
[0, 1, 0, 2, 0, 1, 0, 0, 0]     6
[3, 3, 3, 1, 1, 0, 1, 1, 3]     7
[0, 1, 3, 3, 1, 0, 2, 0, 2]     8
[0, 3, 2, 3, 0, 0, 3, 2, 3]     9
[0, 1, 2, 1, 0, 0, 0, 0, 0]     10
[0, 3, 1, 0, 0, 0, 1, 3, 0]     11
[0, 1, 1, 0, 0, 0, 2, 0, 0]     12
[2, 1, 2, 2, 2, 2, 1, 2, 2]     13
[3, 0, 3, 3, 3, 3, 3, 3, 3]     14
[1, 0, 0, 0, 0, 0, 1, 1, 1]     15
[0, 0, 1, 2, 3, 0, 3, 2, 1]     16
[2, 2, 0, 0, 2, 2, 3, 2, 3]     17
[0, 0, 3, 1, 2, 2, 1, 3, 0]     18
[2, 0, 2, 0, 2, 0, 3, 3, 0]     19
[0, 0, 1, 0, 2, 0, 1, 0, 0]     20
[3, 3, 3, 3, 1, 1, 0, 1, 1]     21
[2, 0, 1, 3, 3, 1, 0, 2, 0]     22
[3, 0, 3, 2, 3, 0, 0, 3, 2]     23
[0, 0, 1, 2, 1, 0, 0, 0, 0]     24
[0, 0, 3, 1, 0, 0, 0, 1, 3]     25
[0, 0, 1, 1, 0, 0, 0, 2, 0]     26
[2, 2, 1, 2, 2, 2, 2, 1, 2]     27
[3, 3, 0, 3, 3, 3, 3, 3, 3]     28
[1, 1, 0, 0, 0, 0, 0, 1, 1]     29
[1, 0, 0, 1, 2, 3, 0, 3, 2]     30
[3, 2, 2, 0, 0, 2, 2, 3, 2]     31
[0, 0, 0, 3, 1, 2, 2, 1, 3]     32
[0, 2, 0, 2, 0, 2, 0, 3, 3]     33
[0, 0, 0, 1, 0, 2, 0, 1, 0]     34
[1, 3, 3, 3, 3, 1, 1, 0, 1]     35
[0, 2, 0, 1, 3, 3, 1, 0, 2]     36
[2, 3, 0, 3, 2, 3, 0, 0, 3]     37
[0, 0, 0, 1, 2, 1, 0, 0, 0]     38
[3, 0, 0, 3, 1, 0, 0, 0, 1]     39
[0, 0, 0, 1, 1, 0, 0, 0, 2]     40
[2, 2, 2, 1, 2, 2, 2, 2, 1]     41
[3, 3, 3, 0, 3, 3, 3, 3, 3]     42
[1, 1, 1, 0, 0, 0, 0, 0, 1]     43
[2, 1, 0, 0, 1, 2, 3, 0, 3]     44
[2, 3, 2, 2, 0, 0, 2, 2, 3]     45
[3, 0, 0, 0, 3, 1, 2, 2, 1]     46
[3, 0, 2, 0, 2, 0, 2, 0, 3]     47
[0, 0, 0, 0, 1, 0, 2, 0, 1]     48
[1, 1, 3, 3, 3, 3, 1, 1, 0]     49
[2, 0, 2, 0, 1, 3, 3, 1, 0]     50
[3, 2, 3, 0, 3, 2, 3, 0, 0]     51
[0, 0, 0, 0, 1, 2, 1, 0, 0]     52
[1, 3, 0, 0, 3, 1, 0, 0, 0]     53
[2, 0, 0, 0, 1, 1, 0, 0, 0]     54
[1, 2, 2, 2, 1, 2, 2, 2, 2]     55
[3, 3, 3, 3, 0, 3, 3, 3, 3]     56
[1, 1, 1, 1, 0, 0, 0, 0, 0]     57
[3, 2, 1, 0, 0, 1, 2, 3, 0]     58
[3, 2, 3, 2, 2, 0, 0, 2, 2]     59
[1, 3, 0, 0, 0, 3, 1, 2, 2]     60
[3, 3, 0, 2, 0, 2, 0, 2, 0]     61
[1, 0, 0, 0, 0, 1, 0, 2, 0]     62
[0, 1, 1, 3, 3, 3, 3, 1, 1]     63
[0, 2, 0, 2, 0, 1, 3, 3, 1]     64
[0, 3, 2, 3, 0, 3, 2, 3, 0]     65
[0, 0, 0, 0, 0, 1, 2, 1, 0]     66
[0, 1, 3, 0, 0, 3, 1, 0, 0]     67
[0, 2, 0, 0, 0, 1, 1, 0, 0]     68
[2, 1, 2, 2, 2, 1, 2, 2, 2]     69
[3, 3, 3, 3, 3, 0, 3, 3, 3]     70
[0, 1, 1, 1, 1, 0, 0, 0, 0]     71
[0, 3, 2, 1, 0, 0, 1, 2, 3]     72
[2, 3, 2, 3, 2, 2, 0, 0, 2]     73
[2, 1, 3, 0, 0, 0, 3, 1, 2]     74
[0, 3, 3, 0, 2, 0, 2, 0, 2]     75
[0, 1, 0, 0, 0, 0, 1, 0, 2]     76
[1, 0, 1, 1, 3, 3, 3, 3, 1]     77
[1, 0, 2, 0, 2, 0, 1, 3, 3]     78
[0, 0, 3, 2, 3, 0, 3, 2, 3]     79
[0, 0, 0, 0, 0, 0, 1, 2, 1]     80
[0, 0, 1, 3, 0, 0, 3, 1, 0]     81
[0, 0, 2, 0, 0, 0, 1, 1, 0]     82
[2, 2, 1, 2, 2, 2, 1, 2, 2]     83
[3, 3, 3, 3, 3, 3, 0, 3, 3]     84
[0, 0, 1, 1, 1, 1, 0, 0, 0]     85
[3, 0, 3, 2, 1, 0, 0, 1, 2]     86
[2, 2, 3, 2, 3, 2, 2, 0, 0]     87
[2, 2, 1, 3, 0, 0, 0, 3, 1]     88
[2, 0, 3, 3, 0, 2, 0, 2, 0]     89
[2, 0, 1, 0, 0, 0, 0, 1, 0]     90
[1, 1, 0, 1, 1, 3, 3, 3, 3]     91
[3, 1, 0, 2, 0, 2, 0, 1, 3]     92
[3, 0, 0, 3, 2, 3, 0, 3, 2]     93
[1, 0, 0, 0, 0, 0, 0, 1, 2]     94
[0, 0, 0, 1, 3, 0, 0, 3, 1]     95
[0, 0, 0, 2, 0, 0, 0, 1, 1]     96
[2, 2, 2, 1, 2, 2, 2, 1, 2]     97
[3, 3, 3, 3, 3, 3, 3, 0, 3]     98
[0, 0, 0, 1, 1, 1, 1, 0, 0]     99
[2, 3, 0, 3, 2, 1, 0, 0, 1]     100
[0, 2, 2, 3, 2, 3, 2, 2, 0]     101
[1, 2, 2, 1, 3, 0, 0, 0, 3]     102
[0, 2, 0, 3, 3, 0, 2, 0, 2]     103
[0, 2, 0, 1, 0, 0, 0, 0, 1]     104
[3, 1, 1, 0, 1, 1, 3, 3, 3]     105
[3, 3, 1, 0, 2, 0, 2, 0, 1]     106
[2, 3, 0, 0, 3, 2, 3, 0, 3]     107
[2, 1, 0, 0, 0, 0, 0, 0, 1]     108
[1, 0, 0, 0, 1, 3, 0, 0, 3]     109
[1, 0, 0, 0, 2, 0, 0, 0, 1]     110
[2, 2, 2, 2, 1, 2, 2, 2, 1]     111
[3, 3, 3, 3, 3, 3, 3, 3, 0]     112
[0, 0, 0, 0, 1, 1, 1, 1, 0]     113
[1, 2, 3, 0, 3, 2, 1, 0, 0]     114
[0, 0, 2, 2, 3, 2, 3, 2, 2]     115
[3, 1, 2, 2, 1, 3, 0, 0, 0]     116
[2, 0, 2, 0, 3, 3, 0, 2, 0]     117
[1, 0, 2, 0, 1, 0, 0, 0, 0]     118
[3, 3, 1, 1, 0, 1, 1, 3, 3]     119
[1, 3, 3, 1, 0, 2, 0, 2, 0]     120
[3, 2, 3, 0, 0, 3, 2, 3, 0]     121
[1, 2, 1, 0, 0, 0, 0, 0, 0]     122
[3, 1, 0, 0, 0, 1, 3, 0, 0]     123
[1, 1, 0, 0, 0, 2, 0, 0, 0]     124
[1, 2, 2, 2, 2, 1, 2, 2, 2]     125
[0, 3, 3, 3, 3, 3, 3, 3, 3]     126
