1210

class: 1
0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1
1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1
1, 1, 0, -1, -1, -1, -1, -1, 1, 1, 1
1, 1, 1, 0, -1, -1, -1, -1, -1, 1, 1
1, 1, 1, 1, 0, -1, -1, -1, -1, -1, 1
1, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1
-1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1
-1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1
-1, -1, -1, 1, 1, 1, 1, 1, 0, -1, -1
-1, -1, -1, -1, 1, 1, 1, 1, 1, 0, -1
-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 0


class: 2
0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1
1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1
1, 1, 0, -1, -1, -1, -1, -1, 1, 1, 1
1, 1, 1, 0, -1, -1, -1, -1, -1, 1, 1
1, 1, 1, 1, 0, -1, -1, -1, 1, -1, -1
1, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1
-1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1
-1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1
-1, -1, -1, 1, -1, 1, 1, 1, 0, -1, 1
-1, -1, -1, -1, 1, 1, 1, 1, 1, 0, -1
-1, -1, -1, -1, 1, 1, 1, 1, -1, 1, 0


class: 3
0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1
1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1
1, 1, 0, -1, -1, -1, -1, -1, 1, 1, 1
1, 1, 1, 0, -1, -1, -1, -1, -1, 1, 1
1, 1, 1, 1, 0, -1, -1, 1, -1, -1, -1
1, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1
-1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1
-1, -1, 1, 1, -1, 1, 1, 0, -1, -1, 1
