[1, 0, 0, 0, 0]
[0, 0, 0, 1, 1]     1
[0, 1, 2, 1, 0]     2
[0, 0, 1, 0, 1]     3
[1, 1, 1, 1, 0]     4
[2, 2, 1, 1, 2]     5
[0, 2, 0, 1, 1]     6
[2, 1, 2, 1, 2]     7
[0, 0, 0, 1, 0]     8
[0, 1, 1, 0, 0]     9
[2, 1, 0, 0, 1]     10
[1, 0, 1, 0, 0]     11
[1, 1, 0, 1, 1]     12
[1, 1, 2, 2, 2]     13
[0, 1, 1, 0, 2]     14
[2, 1, 2, 2, 1]     15
[0, 1, 0, 0, 0]     16
[1, 0, 0, 0, 1]     17
[0, 0, 1, 2, 1]     18
[1, 0, 0, 1, 0]     19
[0, 1, 1, 1, 1]     20
[2, 2, 2, 1, 1]     21
[1, 0, 2, 0, 1]     22
[2, 2, 1, 2, 1]     23
[0, 0, 0, 0, 1]     24
[0, 0, 1, 1, 0]     25
[1, 2, 1, 0, 0]     26
[0, 1, 0, 1, 0]     27
[1, 1, 1, 0, 1]     28
[2, 1, 1, 2, 2]     29
[2, 0, 1, 1, 0]     30
[1, 2, 1, 2, 2]     31
[0, 0, 1, 0, 0]     32
[1, 1, 0, 0, 0]     33
[1, 0, 0, 1, 2]     34
[0, 1, 0, 0, 1]     35
[1, 0, 1, 1, 1]     36
[1, 2, 2, 2, 1]     37
[1, 1, 0, 2, 0]     38
[1, 2, 2, 1, 2]     39
[1, 0, 0, 0, 0]     40

0 = 40
