[1, 0, 0, 0, 0]
[0, 0, 0, 1, 1]     1
[0, 1, 2, 1, 0]     2
[3, 3, 1, 0, 1]     3
[0, 1, 1, 0, 2]     4
[2, 1, 2, 2, 1]     5
[3, 0, 3, 3, 3]     6
[3, 2, 2, 2, 3]     7
[0, 0, 1, 2, 1]     8
[1, 3, 3, 1, 0]     9
[2, 0, 1, 1, 0]     10
[1, 2, 1, 2, 2]     11
[3, 3, 0, 3, 3]     12
[3, 3, 2, 2, 2]     13
[1, 0, 0, 1, 2]     14
[0, 1, 3, 3, 1]     15
[0, 2, 0, 1, 1]     16
[2, 1, 2, 1, 2]     17
[3, 3, 3, 0, 3]     18
[2, 3, 3, 2, 2]     19
[2, 1, 0, 0, 1]     20
[1, 0, 1, 3, 3]     21
[1, 0, 2, 0, 1]     22
[2, 2, 1, 2, 1]     23
[3, 3, 3, 3, 0]     24
[2, 2, 3, 3, 2]     25
[1, 2, 1, 0, 0]     26
[3, 1, 0, 1, 3]     27
[1, 1, 0, 2, 0]     28
[1, 2, 2, 1, 2]     29
[0, 3, 3, 3, 3]     30
[2, 2, 2, 3, 3]     31
[0, 1, 2, 1, 0]     32

2 = 32
